代码,连续下跌天数,累计跌幅(%),最后交易日
515720,1,-1.44,2026-01-07
515230,1,-1.16,2026-01-07
510900,1,-1.1,2026-01-07
512630,1,-0.87,2026-01-07
515010,1,-0.82,2026-01-07
512000,1,-0.81,2026-01-07
512570,1,-0.78,2026-01-07
512900,1,-0.71,2026-01-07
512880,1,-0.7,2026-01-07
515730,1,-0.67,2026-01-07
515850,1,-0.63,2026-01-07
512820,1,-0.62,2026-01-07
512800,1,-0.61,2026-01-07
515560,1,-0.6,2026-01-07
512730,1,-0.59,2026-01-07
512720,1,-0.56,2026-01-07
512130,1,-0.56,2026-01-07
512700,1,-0.56,2026-01-07
512690,1,-0.55,2026-01-07
515400,1,-0.51,2026-01-07
515020,1,-0.51,2026-01-07
510650,1,-0.5,2026-01-07
515290,1,-0.47,2026-01-07
515630,1,-0.45,2026-01-07
515650,1,-0.42,2026-01-07
515300,1,-0.38,2026-01-07
510200,1,-0.37,2026-01-07
515090,1,-0.36,2026-01-07
512710,1,-0.36,2026-01-07
515170,1,-0.36,2026-01-07
515710,1,-0.34,2026-01-07
510230,1,-0.34,2026-01-07
510060,1,-0.33,2026-01-07
512750,1,-0.33,2026-01-07
512640,1,-0.3,2026-01-07
512600,1,-0.29,2026-01-07
512360,1,-0.27,2026-01-07
512150,1,-0.26,2026-01-07
510030,1,-0.26,2026-01-07
512890,1,-0.26,2026-01-07
512810,1,-0.24,2026-01-07
512660,1,-0.21,2026-01-07
510010,1,-0.16,2026-01-07
510050,1,-0.15,2026-01-07
515100,1,-0.14,2026-01-07
510800,1,-0.13,2026-01-07
512530,1,-0.13,2026-01-07
510020,1,-0.12,2026-01-07
510630,1,-0.11,2026-01-07
512560,1,-0.11,2026-01-07
510310,1,-0.11,2026-01-07
515790,1,-0.1,2026-01-07
510330,1,-0.1,2026-01-07
512070,1,-0.1,2026-01-07
515920,1,-0.08,2026-01-07
515250,1,-0.08,2026-01-07
510760,1,-0.08,2026-01-07
512680,1,-0.07,2026-01-07
512960,1,-0.07,2026-01-07
515180,1,-0.07,2026-01-07
515310,1,-0.07,2026-01-07
510300,1,-0.06,2026-01-07
510100,1,-0.06,2026-01-07
512550,1,-0.05,2026-01-07
510850,1,-0.05,2026-01-07
510360,1,-0.05,2026-01-07
510390,1,-0.04,2026-01-07
510350,1,-0.04,2026-01-07
515660,1,-0.03,2026-01-07
