代码,名称,连续下跌天数,累计跌幅(%),最后交易日
515720,金融科技ETF富国,1,-1.44,2026-01-07
515230,软件ETF,1,-1.16,2026-01-07
510900,恒生中国企业ETF,1,-1.1,2026-01-07
512630,卫星ETF广发,1,-0.87,2026-01-07
515010,券商ETF基金,1,-0.82,2026-01-07
512000,券商ETF,1,-0.81,2026-01-07
512570,证券ETF易方达,1,-0.78,2026-01-07
512900,证券ETF南方,1,-0.71,2026-01-07
512880,证券ETF,1,-0.7,2026-01-07
515730,家居家电ETF,1,-0.67,2026-01-07
515850,证券ETF富国,1,-0.63,2026-01-07
512820,银行ETF龙头,1,-0.62,2026-01-07
512800,银行ETF,1,-0.61,2026-01-07
515560,证券ETF建信,1,-0.6,2026-01-07
512730,银行ETF指数,1,-0.59,2026-01-07
512720,计算机ETF,1,-0.56,2026-01-07
512130,全指现金流ETF鹏华,1,-0.56,2026-01-07
512700,银行ETF南方,1,-0.56,2026-01-07
512690,酒ETF,1,-0.55,2026-01-07
515400,大数据ETF,1,-0.51,2026-01-07
515020,银行ETF基金,1,-0.51,2026-01-07
510650,金融地产ETF,1,-0.5,2026-01-07
515290,银行ETF天弘,1,-0.47,2026-01-07
515630,保险证券ETF,1,-0.45,2026-01-07
515650,消费50ETF,1,-0.42,2026-01-07
515300,300红利低波ETF,1,-0.38,2026-01-07
510200,上证券商ETF,1,-0.37,2026-01-07
515090,可持续发展ETF,1,-0.36,2026-01-07
512710,军工龙头ETF,1,-0.36,2026-01-07
515170,食品饮料ETF,1,-0.36,2026-01-07
515710,食品饮料ETF华宝,1,-0.34,2026-01-07
510230,金融ETF,1,-0.34,2026-01-07
510060,央企ETF,1,-0.33,2026-01-07
512750,基本面50ETF,1,-0.33,2026-01-07
512640,金融地产ETF嘉实,1,-0.3,2026-01-07
512600,消费ETF嘉实,1,-0.29,2026-01-07
512360,MSCI中国A股ETF基金,1,-0.27,2026-01-07
512150,A50ETF,1,-0.26,2026-01-07
510030,价值ETF,1,-0.26,2026-01-07
512890,红利低波ETF,1,-0.26,2026-01-07
512810,军工ETF华宝,1,-0.24,2026-01-07
512660,军工ETF,1,-0.21,2026-01-07
510010,180治理ETF,1,-0.16,2026-01-07
510050,上证50ETF,1,-0.15,2026-01-07
515100,红利低波100ETF,1,-0.14,2026-01-07
510800,50ETF基金,1,-0.13,2026-01-07
512530,沪深300红利ETF,1,-0.13,2026-01-07
510020,超大盘ETF,1,-0.12,2026-01-07
510630,消费30ETF,1,-0.11,2026-01-07
512560,军工ETF易方达,1,-0.11,2026-01-07
510310,沪深300ETF易方达,1,-0.11,2026-01-07
515790,光伏ETF,1,-0.1,2026-01-07
510330,沪深300ETF华夏,1,-0.1,2026-01-07
512070,证券保险ETF,1,-0.1,2026-01-07
515920,智能消费ETF,1,-0.08,2026-01-07
515250,智能汽车ETF,1,-0.08,2026-01-07
510760,上证综指ETF,1,-0.08,2026-01-07
512680,军工ETF龙头,1,-0.07,2026-01-07
512960,央企结构调整ETF,1,-0.07,2026-01-07
515180,红利ETF易方达,1,-0.07,2026-01-07
515310,沪深300指数ETF,1,-0.07,2026-01-07
510300,沪深300ETF,1,-0.06,2026-01-07
510100,上证50ETF易方达,1,-0.06,2026-01-07
512550,富时A50ETF嘉实,1,-0.05,2026-01-07
510850,上证50ETF工银,1,-0.05,2026-01-07
510360,沪深300ETF基金,1,-0.05,2026-01-07
510390,沪深300ETF平安,1,-0.04,2026-01-07
510350,沪深300ETF工银,1,-0.04,2026-01-07
515660,沪深300ETF国联安,1,-0.03,2026-01-07
