代码,名称,连续下跌天数,累计跌幅(%),成交额(元),成交量(手),最后交易日
515720,金融科技ETF富国,1,-1.44,11483188.0,119751,2026-01-07
515230,软件ETF,1,-1.16,124635180.0,1330697,2026-01-07
510900,恒生中国企业ETF,1,-1.1,120940238.0,1034087,2026-01-07
512630,卫星ETF广发,1,-0.87,304209953.0,1935882,2026-01-07
515010,券商ETF基金,1,-0.82,48517447.0,332332,2026-01-07
512000,券商ETF,1,-0.81,827590120.0,13569929,2026-01-07
512570,证券ETF易方达,1,-0.78,52407814.0,409797,2026-01-07
512900,证券ETF南方,1,-0.71,23122846.0,183387,2026-01-07
512880,证券ETF,1,-0.7,1920472813.0,15046997,2026-01-07
515730,家居家电ETF,1,-0.67,3923437.0,37797,2026-01-07
515850,证券ETF富国,1,-0.63,14250062.0,90557,2026-01-07
512820,银行ETF龙头,1,-0.62,55365174.0,383960,2026-01-07
512800,银行ETF,1,-0.61,436099606.0,5303302,2026-01-07
515560,证券ETF建信,1,-0.6,4769259.0,40882,2026-01-07
512730,银行ETF指数,1,-0.59,6291636.0,37380,2026-01-07
512720,计算机ETF,1,-0.56,28543683.0,226974,2026-01-07
512130,全指现金流ETF鹏华,1,-0.56,1452030.0,11570,2026-01-07
512700,银行ETF南方,1,-0.56,69731265.0,433250,2026-01-07
512690,酒ETF,1,-0.55,408712540.0,7459821,2026-01-07
515400,大数据ETF,1,-0.51,56652444.0,579837,2026-01-07
515020,银行ETF基金,1,-0.51,50504719.0,289455,2026-01-07
515290,银行ETF天弘,1,-0.47,57173678.0,388005,2026-01-07
515630,保险证券ETF,1,-0.45,135174346.0,874915,2026-01-07
515650,消费50ETF,1,-0.42,40194800.0,335550,2026-01-07
515300,300红利低波ETF,1,-0.38,75083426.0,577863,2026-01-07
510200,上证券商ETF,1,-0.37,3895731.0,28610,2026-01-07
512710,军工龙头ETF,1,-0.36,501993505.0,6002866,2026-01-07
515170,食品饮料ETF,1,-0.36,94238462.0,1687346,2026-01-07
515710,食品饮料ETF华宝,1,-0.34,19821619.0,332849,2026-01-07
510230,金融ETF,1,-0.34,25917677.0,177440,2026-01-07
512750,基本面50ETF,1,-0.33,1881916.0,12370,2026-01-07
512640,金融地产ETF嘉实,1,-0.3,3917146.0,14984,2026-01-07
512600,消费ETF嘉实,1,-0.29,14547689.0,211904,2026-01-07
510030,价值ETF,1,-0.26,1251718.0,11037,2026-01-07
512890,红利低波ETF,1,-0.26,314036895.0,2680761,2026-01-07
512810,军工ETF华宝,1,-0.24,48700983.0,583199,2026-01-07
512660,军工ETF,1,-0.21,381797218.0,2651426,2026-01-07
510050,上证50ETF,1,-0.15,1039503695.0,3217734,2026-01-07
515100,红利低波100ETF,1,-0.14,93549192.0,651452,2026-01-07
510800,50ETF基金,1,-0.13,2461017.0,16536,2026-01-07
512530,沪深300红利ETF,1,-0.13,1961671.0,12283,2026-01-07
510630,消费30ETF,1,-0.11,17953375.0,191763,2026-01-07
512560,军工ETF易方达,1,-0.11,42067492.0,473122,2026-01-07
510310,沪深300ETF易方达,1,-0.11,355406433.0,754794,2026-01-07
515790,光伏ETF,1,-0.1,285930245.0,2849112,2026-01-07
510330,沪深300ETF华夏,1,-0.1,426094409.0,854693,2026-01-07
512070,证券保险ETF,1,-0.1,627362372.0,6336481,2026-01-07
515920,智能消费ETF,1,-0.08,2238578.0,18689,2026-01-07
515250,智能汽车ETF,1,-0.08,109525865.0,892857,2026-01-07
510760,上证综指ETF,1,-0.08,81413718.0,614346,2026-01-07
512680,军工ETF龙头,1,-0.07,105243394.0,715586,2026-01-07
515180,红利ETF易方达,1,-0.07,122905097.0,884949,2026-01-07
515310,沪深300指数ETF,1,-0.07,9593989.0,67275,2026-01-07
510300,沪深300ETF,1,-0.06,2230476734.0,4537216,2026-01-07
510100,上证50ETF易方达,1,-0.06,203044320.0,644802,2026-01-07
512550,富时A50ETF嘉实,1,-0.05,3288614.0,17745,2026-01-07
510850,上证50ETF工银,1,-0.05,8979921.0,23869,2026-01-07
510360,沪深300ETF基金,1,-0.05,45344555.0,249366,2026-01-07
510390,沪深300ETF平安,1,-0.04,4845565.0,9054,2026-01-07
510350,沪深300ETF工银,1,-0.04,11147899.0,22338,2026-01-07
515660,沪深300ETF国联安,1,-0.03,1979669.0,3339,2026-01-07
