代码,买入日期,3日收益%,5日收益%,10日收益%
510410,2013-06-24,-5.35,-3.3,-5.35
510410,2013-06-25,-0.32,-1.3,-2.92
510410,2013-06-26,1.32,0.16,2.64
510410,2013-06-27,1.16,3.99,8.64
510410,2013-12-18,-3.59,-2.94,-4.57
510410,2014-01-07,-1.07,-1.25,-3.56
510410,2015-02-06,0.14,2.18,6.41
510410,2015-05-05,-4.04,-0.2,-0.59
510410,2015-06-29,-11.88,-17.52,-11.68
510410,2015-07-03,-16.85,0.61,2.08
510410,2015-08-25,4.94,1.85,4.01
510410,2015-08-26,3.13,0.94,5.33
510410,2015-09-15,5.02,6.65,1.78
510410,2015-12-10,1.75,4.08,4.23
510410,2016-01-13,-2.91,-2.43,-6.96
510410,2016-01-15,-0.33,-0.5,-6.94
510410,2016-01-28,0.36,1.81,7.26
510410,2016-05-10,-0.17,1.83,2.0
510410,2016-09-12,0.92,0.15,-0.15
510410,2017-03-22,-0.57,-1.0,1.14
510410,2017-03-28,-0.14,0.72,1.87
510410,2017-04-24,-0.45,2.39,-3.14
510410,2017-04-25,0.45,1.05,-4.04
510410,2018-02-08,-3.59,-0.12,-1.36
510410,2018-02-09,4.65,8.23,5.58
510410,2018-02-12,4.81,6.75,1.69
510410,2018-06-20,-0.89,-2.07,-3.7
510410,2018-06-21,-0.6,-1.51,-2.26
510410,2018-10-18,1.53,2.71,5.93
510410,2018-12-26,-2.5,0.0,1.25
510410,2018-12-27,-1.96,1.61,1.43
510410,2019-04-29,-4.99,-5.64,-0.81
510410,2019-04-30,-5.14,-4.02,-4.02
510410,2019-11-14,1.24,1.42,3.19
510410,2019-11-15,2.14,2.68,3.75
510410,2020-03-13,-4.46,-4.46,-3.39
510410,2020-03-16,-3.84,-4.57,-2.01
510410,2020-03-17,-1.29,-0.37,-0.55
510410,2020-03-18,-2.43,2.43,0.93
510410,2020-03-19,2.66,3.23,3.99
510410,2020-08-12,3.53,4.14,-0.15
510410,2020-09-24,0.16,1.77,3.55
510410,2021-03-08,2.55,2.91,-1.45
510410,2021-03-09,4.22,3.11,-2.48
510410,2021-03-10,5.6,3.23,-6.22
510410,2022-03-15,6.98,10.31,11.83
510410,2022-03-16,5.89,6.29,7.66
510410,2022-04-26,9.78,6.88,8.17
510410,2022-06-22,3.46,3.55,2.09
510410,2022-09-28,0.65,2.22,-0.28
510410,2022-10-21,-1.88,-2.72,0.85
510410,2022-10-26,-3.54,-0.67,4.11
510410,2022-12-22,2.44,0.49,1.95
510410,2022-12-23,1.96,1.08,4.51
510410,2023-04-24,0.35,2.03,0.44
510410,2023-05-12,0.81,0.36,-3.7
510410,2023-05-24,-1.11,-2.67,-1.47
510410,2023-05-26,-0.94,1.5,1.59
510410,2023-10-20,-0.46,0.46,-0.46
510410,2023-10-23,1.8,1.51,0.76
510410,2023-12-19,1.94,2.23,6.4
510410,2024-01-18,-2.4,3.94,1.44
510410,2024-09-04,-3.59,-4.31,0.72
510410,2024-09-06,-3.18,-2.82,6.55
510410,2024-09-09,-0.28,1.3,10.07
510410,2024-11-26,0.66,1.98,3.87
510410,2025-02-25,-1.03,-0.43,2.92
510410,2025-04-07,7.76,10.35,11.83
512720,2019-09-30,1.41,3.93,-0.5
512720,2019-10-08,2.76,1.73,2.86
512720,2020-03-16,2.38,-4.77,-6.64
512720,2020-03-18,-4.68,0.51,-6.39
512720,2020-03-30,4.92,7.93,5.29
512720,2020-03-31,3.19,6.93,4.65
512720,2020-08-12,3.79,0.84,0.42
512720,2020-09-28,4.42,9.23,6.25
512720,2020-11-02,4.5,6.48,3.43
512720,2020-11-26,1.93,2.55,0.93
512720,2021-02-05,7.34,8.21,1.44
512720,2021-03-10,-1.5,-0.25,-0.58
512720,2021-07-27,0.07,2.81,3.84
512720,2021-07-28,4.85,6.29,4.78
512720,2021-08-30,-2.0,1.31,0.08
512720,2022-01-07,0.55,-1.18,3.3
512720,2022-01-28,1.59,-2.01,-0.08
512720,2022-02-07,1.18,-1.69,3.04
512720,2022-02-14,0.95,4.82,2.58
512720,2022-03-07,-1.56,-4.22,-3.12
512720,2022-03-08,0.93,-6.6,-1.77
512720,2022-03-09,-1.51,-2.26,0.0
512720,2022-04-08,-5.32,-4.81,-8.79
512720,2022-04-11,1.41,2.71,-10.28
512720,2022-04-13,2.48,1.3,-10.04
512720,2022-04-25,-1.21,3.86,4.58
512720,2022-04-26,11.68,9.26,8.88
512720,2022-09-26,0.6,-4.18,8.35
512720,2022-10-11,10.11,11.99,10.49
512720,2022-11-24,-0.92,2.16,0.1
512720,2022-11-25,0.52,2.62,1.99
512720,2022-11-28,5.63,5.84,5.31
512720,2023-04-24,-6.57,-5.08,-7.66
512720,2023-04-25,-3.06,-5.73,-8.08
512720,2023-04-26,-0.16,1.73,-3.13
512720,2023-04-27,0.59,2.09,-4.27
512720,2023-05-12,-1.96,0.77,-0.94
512720,2023-07-21,1.25,2.86,7.51
512720,2023-08-25,8.01,7.01,3.3
512720,2023-09-15,-2.41,1.71,1.91
512720,2023-10-20,0.32,0.75,2.24
512720,2023-10-23,1.95,3.68,7.26
512720,2024-01-05,-5.29,-4.37,-7.82
512720,2024-01-08,0.24,-2.83,-9.21
512720,2024-01-09,-0.6,-2.15,-5.85
512720,2024-01-10,-0.12,-2.43,-3.16
512720,2024-01-17,-4.35,-0.75,-8.46
512720,2024-02-05,13.79,17.1,29.74
512720,2024-04-08,-1.65,-2.0,-4.35
512720,2024-04-10,0.36,1.08,0.36
512720,2024-07-03,-3.98,-1.86,-0.8
512720,2024-07-04,0.14,2.17,1.09
512720,2024-08-09,-1.14,-0.71,-3.69
512720,2024-08-12,0.86,0.72,-2.73
512720,2024-08-22,-0.6,0.75,2.54
512720,2024-11-18,5.83,1.91,6.12
512720,2025-01-02,-2.91,-2.81,-0.6
512720,2025-01-03,0.31,-1.26,3.98
512720,2025-01-06,2.22,-0.42,5.07
512720,2025-03-25,-0.36,-1.8,-8.66
512720,2025-03-26,-0.72,-1.26,-7.58
512720,2025-04-08,6.15,5.64,5.43
512720,2025-11-21,2.92,2.58,2.06
512900,2017-09-25,-0.38,0.57,-0.66
512900,2017-11-01,0.0,3.15,1.53
512900,2017-12-18,-0.43,-2.79,-1.07
512900,2018-01-31,-0.92,-6.53,-13.47
512900,2018-02-07,-8.41,-7.42,-5.35
512900,2018-02-08,-6.7,-5.93,-4.61
512900,2018-02-09,0.59,2.14,2.25
512900,2018-02-12,2.15,5.24,2.62
512900,2018-02-13,1.29,2.59,3.41
512900,2018-03-26,2.55,4.48,5.09
512900,2018-04-16,1.92,-0.48,1.44
512900,2018-05-25,-5.32,-3.39,-5.2
512900,2018-05-28,-3.88,-3.76,-4.73
512900,2018-05-29,-1.84,-2.09,-2.95
512900,2018-05-30,1.4,1.66,-0.89
512900,2018-06-20,-2.93,-2.93,-1.95
512900,2018-06-21,1.01,1.44,0.14
512900,2018-08-03,0.15,2.06,-0.73
512900,2018-10-15,-1.16,11.9,14.88
512900,2018-10-16,2.33,12.81,21.13
512900,2018-11-26,-0.14,4.24,-0.14
512900,2018-12-25,1.03,3.08,9.4
512900,2019-03-27,9.16,14.26,8.01
512900,2019-04-30,-9.3,-6.61,-11.57
512900,2019-05-08,0.8,1.25,-1.48
512900,2019-05-09,0.92,2.77,-0.35
512900,2019-08-02,-4.35,-4.13,-2.57
512900,2019-08-05,-1.14,-0.11,6.04
512900,2019-08-06,-1.38,-0.23,5.97
512900,2019-08-07,2.33,1.75,7.47
512900,2020-01-23,-9.01,-6.31,-3.83
512900,2020-02-04,4.99,5.92,12.53
512900,2020-02-05,3.98,5.35,10.58
512900,2020-03-16,-1.39,-4.28,-2.99
512900,2020-03-23,2.01,1.34,3.24
512900,2020-05-25,1.6,5.25,3.99
512900,2020-07-17,4.45,-1.85,2.94
512900,2020-07-28,5.15,6.78,3.6
512900,2020-09-10,0.09,-0.94,1.71
512900,2020-09-11,-0.17,4.2,3.51
512900,2021-02-05,3.03,5.41,-0.28
512900,2021-03-10,-0.58,-0.19,2.13
512900,2022-03-07,-4.7,-4.5,-2.86
512900,2022-03-08,-1.46,-4.47,-1.25
512900,2022-03-09,0.21,2.79,2.04
512900,2022-04-25,-5.22,-2.04,-2.61
512900,2022-04-26,4.15,-0.36,2.73
512900,2022-07-15,3.03,2.25,1.46
512900,2022-08-02,3.36,2.55,6.6
512900,2022-08-03,3.73,2.79,9.08
512900,2022-09-19,-0.35,-2.46,-5.86
512900,2022-09-20,-0.35,-1.76,-5.15
512900,2022-09-30,1.84,3.07,2.95
512900,2023-02-17,3.32,2.32,3.98
512900,2023-06-26,0.94,3.87,3.87
512900,2023-08-23,5.05,1.24,-1.34
512900,2023-09-07,0.94,0.21,-1.47
512900,2023-09-19,2.0,-0.42,-2.63
512900,2023-10-10,-0.22,0.86,1.19
512900,2023-11-29,0.86,-0.97,-0.97
512900,2023-12-20,-1.13,-1.35,-1.01
512900,2023-12-26,3.23,2.19,-2.3
512900,2024-01-10,-0.24,-0.94,3.3
512900,2024-04-12,1.86,1.99,8.19
512900,2024-06-11,2.22,2.96,-1.73
512900,2024-07-08,3.9,3.5,7.67
512900,2025-01-03,0.09,-2.16,1.6
512900,2025-01-06,-0.38,-1.69,2.16
512900,2025-01-10,3.65,3.84,5.76
512040,2019-04-26,-6.93,-6.72,-4.83
512040,2019-04-29,-5.29,-8.03,-4.02
512040,2019-05-07,0.67,-1.56,-1.34
512040,2019-05-08,0.45,2.03,-1.13
512040,2019-08-05,-1.15,-0.23,4.13
512040,2019-08-06,-0.23,1.4,5.36
512040,2019-09-26,0.44,1.99,2.88
512040,2020-03-18,-2.04,2.95,1.36
512040,2020-09-07,-3.13,-2.03,0.63
512040,2020-09-09,0.48,1.44,1.76
512040,2021-06-16,-0.7,0.28,2.24
512040,2021-07-27,1.61,2.78,6.88
512040,2021-07-28,4.3,4.59,9.63
512040,2021-10-15,1.42,1.03,-2.07
512040,2021-10-28,-0.66,0.93,2.39
512040,2022-01-27,4.63,7.44,4.15
512040,2022-03-08,0.99,-9.42,0.12
512040,2022-03-09,-0.38,-5.54,2.14
512040,2022-07-15,3.53,1.96,2.62
512040,2022-09-16,0.13,-1.58,-3.82
512040,2022-09-19,0.13,-3.31,-4.23
512040,2022-09-26,0.14,-0.96,2.74
512040,2022-12-21,-0.8,-0.53,0.67
512040,2023-05-25,1.62,0.63,2.25
512040,2023-10-23,2.06,3.61,4.38
512040,2024-01-22,5.72,5.84,-0.76
512040,2024-08-22,-0.84,-0.72,-0.12
512040,2024-08-28,0.73,0.61,-2.18
512040,2024-09-11,0.12,1.86,14.25
512040,2024-09-12,1.86,2.11,23.85
512040,2024-09-13,2.62,6.74,26.84
512040,2025-01-03,-0.21,-2.52,0.31
512040,2025-01-13,2.93,3.68,4.55
512040,2025-11-24,1.0,2.54,3.08
515050,2020-03-18,-3.15,2.19,-4.19
515050,2020-03-31,4.2,7.79,4.5
515050,2020-05-25,0.28,5.96,9.56
515050,2020-05-29,8.44,9.19,9.57
515050,2020-07-27,4.42,9.95,3.55
515050,2020-09-09,2.41,1.08,2.91
515050,2020-09-10,3.8,3.46,1.69
515050,2021-02-05,4.45,5.54,1.54
515050,2021-03-10,-4.96,-3.91,-7.82
515050,2021-03-16,-1.41,-0.8,-0.2
515050,2021-08-18,2.43,2.43,-2.26
515050,2021-09-16,2.31,2.13,2.59
515050,2022-01-07,-0.83,-2.23,-3.31
515050,2022-01-27,-2.71,-1.44,-1.71
515050,2022-01-28,-0.36,-3.64,-0.64
515050,2022-03-07,-0.1,-3.43,-2.02
515050,2022-03-08,1.03,-6.05,-1.13
515050,2022-03-09,-2.54,-3.05,0.71
515050,2022-03-15,5.68,5.24,-1.2
515050,2022-04-08,-6.44,-4.14,-6.79
515050,2022-04-11,0.36,3.51,-8.72
515050,2022-04-13,5.17,2.58,-3.81
515050,2022-04-25,5.04,10.34,13.4
515050,2022-04-26,12.6,10.43,15.45
515050,2022-08-31,-0.34,1.01,-4.14
515050,2022-09-16,-3.09,-5.94,-9.98
515050,2022-09-19,-2.54,-4.72,-12.11
515050,2022-09-20,-4.0,-3.27,-11.76
515050,2022-09-21,-3.55,-5.39,-7.84
515050,2022-09-23,-2.53,-4.29,-2.27
515050,2022-09-26,-1.91,-7.75,-0.76
515050,2022-12-23,1.68,1.94,4.9
515050,2023-04-25,-2.5,-6.26,-8.03
515050,2023-04-26,-1.61,-2.47,-4.19
515050,2023-04-27,-1.21,-0.77,-2.75
515050,2023-05-11,-0.56,3.71,2.81
515050,2023-05-12,1.93,5.1,5.1
515050,2023-07-21,0.59,-0.3,3.36
515050,2023-08-11,-2.85,-5.29,-8.65
