代码,买入日期,3日收益%,5日收益%,10日收益%
512910,2020-02-03,6.31,5.95,10.83
512910,2020-02-04,2.77,4.15,6.81
512910,2020-03-13,-7.74,-7.62,-5.27
512910,2020-03-16,-5.52,-6.46,-1.41
512910,2020-03-17,-2.37,-2.49,0.0
512910,2020-03-18,-3.28,2.79,2.07
512910,2020-03-19,2.36,4.48,6.22
512910,2021-03-08,0.89,-0.89,-1.04
512910,2021-03-09,4.27,2.98,1.3
512910,2021-03-25,3.3,3.92,1.61
512910,2021-06-17,-0.45,0.53,1.95
512910,2021-07-27,-0.83,2.99,5.65
512910,2021-07-28,2.32,2.99,4.56
512910,2022-01-06,0.0,-0.73,1.05
512910,2022-03-07,-1.18,-4.62,-2.72
512910,2022-03-08,0.83,-7.93,-0.92
512910,2022-03-09,-1.96,-2.61,0.93
512910,2022-04-21,-4.41,-1.18,-2.35
512910,2022-04-25,3.06,4.9,2.86
512910,2022-09-05,0.58,2.53,-2.33
512910,2022-10-24,-0.22,-4.82,3.94
512910,2022-10-25,-3.08,-0.33,3.74
512910,2022-10-28,4.55,7.73,8.41
512910,2022-10-31,4.95,9.21,10.13
512910,2023-05-25,-0.83,-1.24,-0.73
512910,2023-05-26,-1.77,0.83,0.1
512910,2023-05-29,-0.31,0.94,1.05
512910,2023-12-15,-0.6,0.36,3.22
512910,2024-07-08,2.29,2.4,3.77
512910,2024-11-26,1.82,2.72,4.14
512910,2025-01-03,0.1,-0.81,0.71
512910,2025-04-07,3.58,4.52,5.26
512000,2016-12-06,-0.19,-2.91,-5.43
512000,2017-03-22,1.46,-0.21,1.46
512000,2017-05-04,-2.16,-2.81,-1.94
512000,2017-09-25,-0.19,0.96,-0.19
512000,2017-11-01,0.0,3.07,1.64
512000,2017-12-18,-0.43,-2.8,-1.29
512000,2018-01-31,-0.82,-6.6,-13.4
512000,2018-02-07,-7.95,-7.28,-5.08
512000,2018-02-08,-6.65,-5.76,-4.43
512000,2018-02-09,0.24,1.67,1.91
512000,2018-02-12,1.92,5.04,2.16
512000,2018-02-13,1.19,2.85,3.33
512000,2018-03-26,2.44,4.4,5.13
512000,2018-05-25,-5.37,-3.66,-5.12
512000,2018-05-28,-3.68,-3.68,-4.41
512000,2018-05-30,1.29,1.8,-0.77
512000,2018-06-20,-2.54,-2.54,-1.97
512000,2018-06-21,0.87,1.16,0.0
512000,2018-08-03,0.0,1.78,-0.59
512000,2018-10-15,-1.99,11.26,13.91
512000,2018-10-16,2.35,14.09,21.81
512000,2018-11-26,0.0,4.42,0.28
512000,2018-12-25,1.18,2.96,8.88
512000,2019-03-27,9.28,14.35,8.02
512000,2019-04-30,-9.6,-6.89,-11.9
512000,2019-05-08,0.92,1.15,-1.39
512000,2019-05-09,0.94,3.04,-0.23
512000,2019-08-02,-4.1,-4.33,-2.73
512000,2019-08-05,-0.7,0.23,6.29
512000,2019-08-06,-1.64,-0.47,5.85
512000,2019-08-07,2.14,1.19,6.89
512000,2020-02-03,3.99,5.16,12.21
512000,2020-03-23,2.76,2.07,3.92
512000,2020-05-25,1.17,4.9,3.73
512000,2020-07-17,4.68,-1.73,2.77
512000,2020-07-28,4.77,6.54,3.71
512000,2020-10-27,-1.79,0.18,3.75
512000,2021-02-01,-3.45,-4.0,-1.82
512000,2021-02-05,3.04,5.31,-0.38
512000,2021-03-10,-0.6,-0.2,1.81
512000,2021-07-28,2.62,3.22,4.63
512000,2022-03-08,-0.87,-5.63,-0.65
512000,2022-03-09,0.0,2.66,1.55
512000,2022-03-10,-2.9,2.67,0.89
512000,2022-08-02,2.63,2.39,6.22
512000,2022-08-03,3.13,2.4,8.65
512000,2022-09-19,-0.24,-2.43,-5.83
512000,2022-09-20,-0.24,-1.46,-5.1
512000,2022-09-30,2.04,3.32,3.06
512000,2022-10-10,2.58,4.64,2.06
512000,2022-12-21,-0.24,0.48,2.17
512000,2023-06-26,0.49,3.88,3.4
512000,2023-08-23,4.69,0.85,-1.49
512000,2023-10-10,-0.22,1.12,1.34
512000,2024-01-09,-0.73,0.24,-1.7
512000,2024-08-21,-0.52,-1.3,-0.26
512000,2024-11-15,0.86,-2.93,0.17
512000,2024-11-18,3.14,-2.62,2.44
512000,2025-01-03,0.0,-2.14,1.55
512000,2025-01-06,-0.19,-1.75,2.33
510630,2013-10-28,-3.93,-4.29,-5.36
510630,2013-10-29,-3.25,-2.17,-2.89
510630,2013-11-08,1.53,6.13,5.36
510630,2014-01-06,0.0,0.0,-1.57
510630,2014-03-28,2.04,2.86,8.57
510630,2014-04-28,4.15,2.49,2.49
510630,2014-10-23,1.88,2.63,0.75
510630,2015-06-29,-5.65,-4.94,2.82
510630,2015-07-03,-11.98,6.51,10.42
510630,2015-08-25,15.34,11.35,10.43
510630,2015-09-07,1.98,0.28,0.0
510630,2016-01-11,0.6,-2.1,-2.1
510630,2016-01-12,-3.29,1.2,-7.78
510630,2018-02-05,-3.94,-3.42,1.54
510630,2018-02-06,2.83,0.71,3.89
510630,2018-02-07,1.62,3.42,3.96
510630,2018-06-28,-0.18,-1.93,3.51
510630,2018-07-05,4.11,5.55,3.94
510630,2018-08-03,-2.2,1.28,-5.69
510630,2018-08-06,3.01,3.2,-3.38
510630,2018-08-16,0.57,1.14,1.9
510630,2018-08-17,2.33,3.31,2.14
510630,2018-09-10,0.2,0.2,7.34
510630,2018-10-18,3.89,0.0,-6.15
510630,2018-10-26,-4.41,1.47,-0.84
510630,2018-10-29,4.33,8.66,8.2
510630,2018-10-30,9.77,7.95,9.09
510630,2020-03-16,-2.66,-0.42,6.45
510630,2020-03-18,1.0,4.41,9.96
510630,2021-02-24,-3.18,-4.33,-14.61
510630,2021-02-25,-3.64,-7.7,-10.86
510630,2021-02-26,-0.49,-4.64,-8.87
510630,2021-07-26,-2.95,-1.36,0.91
510630,2021-07-27,-2.35,3.52,8.14
510630,2021-08-23,0.57,0.25,3.04
510630,2022-01-11,-2.78,-1.35,-3.01
510630,2022-02-08,2.41,5.14,3.53
510630,2022-03-07,0.08,-3.71,-3.96
510630,2022-03-08,2.27,-6.8,-2.94
510630,2022-03-09,-1.35,-3.63,-1.6
510630,2022-03-29,4.85,2.38,7.69
510630,2022-04-11,8.88,8.14,2.31
510630,2022-05-09,3.43,1.62,2.62
510630,2022-10-21,-4.25,-10.53,-0.46
510630,2022-10-24,-2.52,-6.8,5.44
510630,2022-10-25,-5.92,-0.97,3.88
510630,2022-10-31,7.5,13.13,12.81
510630,2023-03-10,0.0,-0.84,0.51
510630,2023-04-21,0.09,2.21,-0.44
510630,2023-05-11,-0.8,-2.06,-2.41
510630,2023-05-12,-0.9,-0.45,-1.98
510630,2023-05-26,-3.21,-1.19,-3.95
510630,2023-05-29,-2.04,-1.85,-1.2
510630,2023-08-23,1.75,3.1,5.04
510630,2023-10-23,3.13,6.26,7.82
510630,2023-12-05,0.52,0.63,-4.08
510630,2023-12-14,-0.54,0.0,4.56
510630,2024-05-24,-0.61,-1.83,-2.85
510630,2024-06-03,0.0,-2.39,-4.36
510630,2024-06-20,-0.88,-1.55,-4.2
510630,2024-06-21,1.0,-1.78,-4.35
510630,2024-07-08,3.44,3.44,4.86
510630,2024-07-24,-0.95,2.02,1.79
510630,2024-10-17,4.31,3.65,3.65
510630,2024-11-18,0.52,-2.79,0.93
510630,2025-01-06,0.11,-0.98,0.33
510630,2025-02-05,1.7,2.04,3.62
510630,2025-06-17,0.22,0.0,0.11
515550,2020-03-16,-2.92,-5.85,-5.09
515550,2020-03-17,2.25,0.0,-0.88
515550,2021-01-29,1.49,-1.72,5.8
515550,2021-03-10,4.23,2.11,3.25
515550,2022-01-25,-2.21,0.29,-0.21
515550,2022-01-26,-1.58,1.79,1.01
515550,2022-01-28,3.5,3.14,3.65
515550,2022-03-11,-7.21,1.77,-0.96
515550,2022-03-15,10.46,4.95,4.87
515550,2022-04-08,-0.39,1.71,-1.87
515550,2022-04-11,3.65,6.59,-4.05
515550,2022-04-25,3.56,7.62,1.82
515550,2022-08-24,-0.45,-1.5,-0.97
515550,2022-08-25,0.45,-1.88,-0.68
515550,2022-09-19,0.32,-2.0,-2.72
515550,2022-12-22,1.2,0.88,2.33
515550,2024-01-08,0.8,0.09,-7.58
515550,2024-01-22,5.5,3.67,-3.19
515550,2024-02-02,11.76,11.96,12.36
515550,2024-06-24,-0.91,-1.19,-3.65
515550,2024-07-24,0.29,3.29,0.87
515550,2024-11-25,0.96,4.08,4.8
515550,2025-01-03,-0.08,-0.75,2.43
515550,2025-04-08,5.67,5.67,6.62
515550,2025-11-18,-3.15,-2.59,-1.26
512730,2021-03-10,5.1,4.51,2.04
512730,2021-04-14,0.6,2.81,1.45
512730,2021-04-15,1.72,2.75,4.21
512730,2021-07-27,-0.99,-0.18,3.69
512730,2022-03-08,-0.18,-7.19,-0.61
512730,2022-03-09,-1.16,-2.32,0.45
512730,2022-03-15,6.99,7.09,7.66
512730,2022-05-09,-0.45,-0.09,0.54
512730,2022-07-15,1.85,0.92,0.46
512730,2022-10-24,-0.9,-3.01,-0.6
512730,2022-10-25,-1.81,-1.51,-0.1
512730,2023-03-14,1.68,0.56,0.56
512730,2023-05-25,0.54,-0.45,4.07
512730,2023-10-24,0.89,-0.45,-0.27
512730,2023-12-06,0.38,0.38,-0.38
512730,2024-08-06,0.62,0.78,5.54
512730,2025-09-17,-2.79,-1.51,-3.57
512730,2025-10-09,3.96,5.78,7.47
515090,2021-03-08,0.96,-0.07,-0.51
515090,2021-03-09,4.21,3.01,0.98
515090,2021-07-26,-1.5,1.05,2.77
515090,2021-07-27,1.16,4.56,7.35
515090,2022-03-07,-1.21,-3.62,-1.85
515090,2022-03-08,-0.82,-6.57,0.41
515090,2022-03-09,-0.5,-1.41,1.91
515090,2022-03-15,7.65,7.48,5.28
515090,2022-04-21,-4.0,-2.0,-2.52
515090,2022-09-30,-1.18,1.09,-2.46
515090,2022-10-24,-0.1,-2.98,3.37
515090,2023-03-20,2.61,1.74,3.05
515090,2023-05-25,-1.32,-0.97,-0.35
515090,2023-08-17,-2.43,-1.91,-0.87
515090,2023-08-21,0.09,0.62,3.28
515090,2023-10-20,-0.28,1.23,2.17
515090,2024-06-20,-0.94,-0.94,-2.07
515090,2024-07-08,2.84,3.42,4.7
515090,2024-08-14,1.08,-0.3,-1.08
515090,2025-01-03,-0.69,-1.21,0.43
515090,2025-01-06,0.44,-1.48,1.75
515090,2025-04-07,2.59,3.12,4.02
512020,2025-04-07,4.02,4.99,5.75
512020,2025-11-21,1.77,2.11,3.46
515890,2020-12-15,1.36,-1.47,-3.5
515890,2020-12-16,2.62,-0.57,-2.51
515890,2021-07-27,1.68,0.42,4.51
515890,2021-10-28,-1.41,0.3,1.72
515890,2022-03-14,-1.53,2.24,5.9
515890,2022-03-15,9.73,12.46,13.55
515890,2023-10-20,0.26,1.23,-0.26
515890,2023-11-07,0.26,0.35,0.97
515890,2024-01-22,6.93,8.77,5.91
515890,2024-07-24,0.08,1.15,-0.58
515890,2024-07-26,1.32,0.91,-0.49
515890,2024-09-11,0.71,1.42,13.6
515890,2025-01-09,-0.62,0.16,-0.55
515890,2025-01-10,0.95,1.42,1.66
515890,2025-01-13,2.72,2.4,4.32
515890,2025-12-10,-0.57,-1.15,-0.43
515650,2020-02-03,8.93,8.93,12.14
515650,2020-02-04,3.7,5.56,5.77
515650,2020-03-18,-2.73,3.3,3.53
515650,2020-09-08,-0.5,1.78,-1.71
515650,2020-09-09,3.08,2.86,1.76
515650,2021-02-24,-1.66,-1.6,-11.12
515650,2021-02-25,-3.07,-5.57,-8.03
515650,2021-03-09,5.69,3.19,4.09
515650,2021-05-07,2.09,3.56,5.46
515650,2021-06-16,-2.84,-2.72,-1.84
515650,2021-07-26,-3.48,-2.73,-0.14
515650,2021-07-27,-1.15,4.44,8.3
515650,2021-08-31,3.48,5.98,2.95
515650,2022-03-07,-1.09,-4.38,-3.67
515650,2022-03-08,1.35,-7.49,-1.99
515650,2022-03-09,-2.08,-4.32,-1.12
515650,2022-08-01,-1.3,-1.3,-1.38
515650,2022-10-11,0.58,0.0,-10.37
515650,2022-10-12,0.08,-3.08,-10.15
515650,2022-10-13,1.6,-2.61,-11.3
515650,2022-10-21,-5.01,-9.76,-2.11
515650,2022-10-24,-3.4,-7.9,2.39
515650,2022-10-25,-5.0,-2.13,2.04
515650,2022-10-26,-7.13,0.0,1.2
515650,2022-10-31,6.08,11.17,13.46
515650,2023-03-10,0.24,-0.32,0.79
515650,2023-05-12,-1.02,-0.42,-1.1
515650,2023-08-15,-1.02,-2.31,-1.28
515650,2023-08-16,-1.97,-3.42,-1.03
515650,2023-08-23,1.24,2.48,4.07
515650,2023-10-10,-0.9,-1.8,-5.66
515650,2023-10-23,2.49,5.26,7.37
515650,2024-05-24,-0.42,-1.86,-2.37
515650,2024-05-30,0.77,0.0,-2.4
515650,2024-05-31,0.17,-0.52,-3.19
515650,2024-06-21,-0.09,-1.74,-4.12
515650,2024-06-28,-1.02,-2.42,-1.21
515650,2024-07-01,-1.03,-2.81,-1.31
515650,2024-07-08,1.64,1.54,2.22
515650,2024-07-24,0.5,2.97,0.79
515650,2024-07-25,-0.6,1.69,2.09
515650,2024-10-17,4.42,3.89,1.15
515350,2021-02-24,0.08,0.17,-7.57
515350,2021-03-08,0.73,-0.78,-0.73
515350,2021-03-09,2.45,1.61,0.82
515350,2021-07-27,1.03,4.17,6.15
515350,2021-07-28,3.83,4.39,5.84
515350,2022-03-07,-1.26,-3.91,-2.16
515350,2022-03-08,1.32,-6.06,0.0
515350,2022-03-09,-1.04,-1.79,1.39
515350,2022-03-15,6.84,6.45,3.69
515350,2022-04-26,5.58,2.85,5.1
515350,2022-09-05,0.57,2.29,-2.2
515350,2022-09-20,-1.43,-0.87,-5.02
515350,2022-09-22,0.44,-1.07,-3.1
515350,2022-09-30,-0.64,0.83,-1.58
515350,2022-10-10,0.83,3.05,-2.2
515350,2022-10-31,4.14,7.43,7.96
515350,2023-05-25,-0.46,-1.03,-0.72
515350,2023-05-29,-0.76,0.19,0.32
515350,2023-05-31,1.02,-0.19,1.76
515350,2023-09-21,0.6,0.43,-0.32
515350,2023-12-05,0.12,0.98,-1.79
515350,2024-07-08,2.18,2.57,3.85
515350,2025-01-03,0.39,-1.04,0.79
515350,2025-01-13,1.94,2.72,2.51
515350,2025-04-07,2.96,3.85,4.66
510410,2012-06-25,-2.1,-1.1,-3.2
510410,2012-06-26,-0.67,-0.55,-3.66
510410,2012-08-27,-2.62,-1.79,4.29
510410,2012-08-31,0.25,6.77,8.49
510410,2012-10-29,2.55,2.8,0.85
510410,2012-11-28,-2.59,1.94,5.18
510410,2012-11-29,-0.92,2.22,4.71
510410,2013-04-01,-2.24,0.12,-4.86
510410,2013-04-02,0.0,-0.25,-4.38
510410,2013-04-03,0.75,-0.63,-2.13
510410,2013-06-07,-4.29,-5.63,-18.63
510410,2013-06-13,-0.84,-4.47,-15.92
510410,2013-06-14,-2.09,-6.12,-14.46
510410,2013-06-20,-9.8,-11.99,-8.48
510410,2013-06-21,-10.07,-8.89,-7.11
