代码,名称,买入日期,买入价,当前价,持有天数,当前收益%,信号类型,状态,止损价
512930,AI人工智能ETF,2026-01-14,2.396,2.397,2,0.04,🚀 趋势主升,持仓中,2.2762
512710,军工龙头ETF,2026-01-14,0.917,0.861,2,-6.11,🚀 趋势主升,止损退出,0.87115
515770,摩根MSCIAETF,2026-01-14,1.457,1.442,2,-1.03,🚀 趋势主升,持仓中,1.38415
512120,医药50ETF,2026-01-14,0.483,0.474,2,-1.86,🚀 趋势主升,持仓中,0.45885
515000,科技ETF,2026-01-14,1.057,1.08,2,2.18,🚀 趋势主升,持仓中,1.00415
515120,创新药ETF,2026-01-14,0.674,0.663,2,-1.63,🚀 趋势主升,持仓中,0.6403
515320,电子50ETF,2026-01-14,1.28,1.315,2,2.73,🚀 趋势主升,持仓中,1.216
512220,TMTETF,2026-01-14,2.987,3.079,2,3.08,🚀 趋势主升,持仓中,2.83765
512400,有色金属ETF,2026-01-14,2.148,2.175,2,1.26,🚀 趋势主升,持仓中,2.0406
515800,800ETF,2026-01-14,1.31,1.306,2,-0.31,🚀 趋势主升,持仓中,1.2445
515070,人工智能AIETF,2026-01-14,2.139,2.13,2,-0.42,🚀 趋势主升,持仓中,2.03205
515790,光伏ETF,2026-01-14,1.036,1.058,2,2.12,🚀 趋势主升,持仓中,0.9842
515200,创新100ETF,2026-01-14,2.284,2.307,2,1.01,🚀 趋势主升,持仓中,2.1697999999999995
512290,生物医药ETF,2026-01-14,1.088,1.071,2,-1.56,🚀 趋势主升,持仓中,1.0336
512480,半导体ETF,2026-01-14,1.617,1.702,2,5.26,🚀 趋势主升,止盈退出,1.53615
515860,科技ETF嘉实,2026-01-14,1.755,1.788,2,1.88,🚀 趋势主升,持仓中,1.66725
510320,沪深300ETF中金,2026-01-14,1.28,1.28,2,0.0,🚀 趋势主升,持仓中,1.216
512050,A500ETF基金,2026-01-14,1.241,1.237,2,-0.32,🚀 趋势主升,持仓中,1.17895
510380,国寿300ETF,2026-01-14,1.425,1.39,2,-2.46,🚀 趋势主升,持仓中,1.35375
512010,医药ETF,2026-01-14,0.407,0.399,2,-1.97,🚀 趋势主升,持仓中,0.3866499999999999
515310,沪深300指数ETF,2026-01-14,1.42,1.41,2,-0.7,🚀 趋势主升,持仓中,1.349
515950,医药龙头ETF,2026-01-14,0.987,0.972,2,-1.52,🚀 趋势主升,持仓中,0.93765
515290,银行ETF天弘,2026-01-16,1.414,1.414,0,0.0,★★★ 超跌反弹,持仓中,1.408
