代码,名称,决策建议,现价,连跌天数,连跌%,周幅%,月幅%,年幅%,MA5偏离%,量比,成交额(万),日期
510230,金融ETF,观察,1.423,2,-2.82,0.21,2.15,13.57,-1.18,1.39,7232.76,2026-01-08
515010,券商ETF基金,观察,1.411,2,-4.12,1.07,2.39,3.14,-1.08,1.0,8203.63,2026-01-08
512700,银行ETF南方,观察,1.588,2,-1.62,-1.55,-1.73,9.97,-1.08,1.36,17892.76,2026-01-08
515020,银行ETF基金,观察,1.723,2,-1.49,-1.49,-1.71,10.03,-1.05,0.96,8341.09,2026-01-08
512800,银行ETF,观察,0.811,2,-1.71,-1.58,-1.82,9.01,-1.05,0.93,67890.06,2026-01-08
512640,金融地产ETF嘉实,观察,2.55,2,-2.84,0.31,2.08,9.87,-1.02,1.36,610.1,2026-01-08
515290,银行ETF天弘,观察,1.457,2,-1.43,-1.49,-1.69,10.13,-1.02,0.36,5074.02,2026-01-08
512730,银行ETF指数,观察,1.666,2,-1.42,-1.3,-1.59,9.75,-0.99,0.7,759.8,2026-01-08
512570,证券ETF易方达,观察,1.237,2,-4.07,1.23,2.4,3.26,-0.99,0.84,8983.21,2026-01-08
515850,证券ETF富国,观察,1.523,2,-3.89,1.33,2.77,3.68,-0.98,0.91,2545.87,2026-01-08
512900,证券ETF南方,观察,1.22,2,-3.98,1.24,2.69,2.52,-0.96,1.2,6249.83,2026-01-08
512820,银行ETF龙头,观察,1.426,2,-1.45,-1.31,-1.59,9.52,-0.96,0.83,8807.44,2026-01-08
515560,证券ETF建信,观察,1.129,2,-3.95,1.35,2.64,3.01,-0.95,0.82,1211.79,2026-01-08
512000,券商ETF,观察,0.59,2,-3.95,1.37,2.79,2.43,-0.94,1.44,222236.18,2026-01-08
510200,上证券商ETF,观察,1.321,2,-3.53,0.99,2.64,3.77,-0.84,1.48,1524.57,2026-01-08
510900,恒生中国企业ETF,观察,1.152,2,-2.55,-0.17,-0.6,20.13,-0.84,1.09,21626.24,2026-01-08
512890,红利低波ETF,观察,1.161,2,-1.11,-1.19,-1.69,3.75,-0.84,1.0,75683.19,2026-01-08
510030,价值ETF,观察,1.116,2,-1.77,0.72,2.1,10.71,-0.59,0.82,439.01,2026-01-08
512550,富时A50ETF嘉实,观察,1.83,2,-1.46,0.33,1.5,18.91,-0.44,1.06,1028.71,2026-01-08
512750,基本面50ETF,观察,1.504,2,-1.51,0.27,0.94,5.84,-0.42,0.6,225.65,2026-01-08
512600,消费ETF嘉实,观察,0.679,2,-1.17,0.0,0.44,-2.86,-0.35,1.27,4020.06,2026-01-08
515710,食品饮料ETF华宝,观察,0.59,2,-1.18,0.68,0.68,-7.38,-0.3,1.0,3507.01,2026-01-08
515300,300红利低波ETF,观察,1.294,2,-0.77,-0.38,-0.54,-1.97,-0.29,0.81,12128.68,2026-01-08
512530,沪深300红利ETF,观察,1.589,2,-0.69,0.0,0.57,5.93,-0.28,0.91,295.78,2026-01-08
512150,A50ETF,观察,1.933,2,-1.33,0.47,1.15,17.22,-0.27,1.4,188.42,2026-01-08
515170,食品饮料ETF,观察,0.554,2,-1.08,0.73,0.73,-7.82,-0.25,1.1,13894.25,2026-01-08
515650,消费50ETF,观察,1.19,2,-1.0,0.17,1.02,0.85,-0.23,0.72,6388.25,2026-01-08
512250,中证A50ETF招商,观察,1.244,2,-1.67,1.47,3.07,,-0.22,0.37,134.14,2026-01-08
515100,红利低波100ETF,观察,1.43,2,-0.56,-0.21,-1.85,3.17,-0.22,1.07,15343.35,2026-01-08
515030,新能源车ETF,观察,1.915,2,-1.75,1.81,6.74,57.35,-0.14,0.98,22766.87,2026-01-08
515700,新能车ETF,观察,2.561,2,-1.7,1.95,7.02,59.07,-0.12,1.07,7920.39,2026-01-08
515910,质量ETF,观察,0.669,2,-1.33,1.21,2.45,26.23,-0.09,1.28,284.78,2026-01-08
515730,家居家电ETF,观察,1.035,2,-0.58,0.98,1.87,,-0.02,0.54,473.97,2026-01-08
510630,消费30ETF,观察,0.929,2,-0.75,1.31,1.86,-4.23,0.0,1.32,3278.96,2026-01-08
512620,农业ETF天弘,观察,1.026,2,-0.87,0.88,5.34,,0.04,0.29,476.7,2026-01-08
515390,沪深300ETF指数基金,观察,1.373,2,-1.09,1.78,3.16,21.72,0.09,1.35,2918.76,2026-01-08
515330,沪深300ETF天弘,观察,1.359,2,-1.16,1.8,3.19,21.67,0.1,0.48,1128.98,2026-01-08
510310,沪深300ETF易方达,观察,4.657,2,-1.21,1.88,3.26,22.33,0.11,0.96,106517.34,2026-01-08
510330,沪深300ETF华夏,观察,4.931,2,-1.18,1.86,3.25,21.93,0.11,1.03,58170.95,2026-01-08
510350,沪深300ETF工银,观察,4.936,2,-1.24,1.86,3.35,22.54,0.12,1.48,9275.66,2026-01-08
510360,沪深300ETF基金,观察,1.799,2,-1.15,1.81,3.21,21.47,0.13,1.94,14387.21,2026-01-08
515310,沪深300指数ETF,观察,1.411,2,-1.19,1.8,3.14,21.43,0.13,1.17,2481.87,2026-01-08
510300,沪深300ETF,观察,4.863,2,-1.15,1.89,3.29,22.03,0.14,0.82,332467.44,2026-01-08
510390,沪深300ETF平安,观察,5.287,2,-1.22,1.87,3.1,22.38,0.14,0.97,658.63,2026-01-08
512690,酒ETF,观察,0.546,2,-0.73,0.92,-0.55,-12.08,0.18,0.78,68157.67,2026-01-08
515380,沪深300ETF泰康,观察,5.46,2,-1.09,2.0,3.35,21.98,0.19,1.07,4033.21,2026-01-08
515160,MSCI中国ETF招商,观察,1.611,2,-1.05,1.96,4.07,22.88,0.2,2.97,327.02,2026-01-08
515350,民生加银300ETF,观察,6.33,2,-1.15,1.75,3.21,22.15,0.22,0.6,238.24,2026-01-08
512990,MSCIA股ETF,观察,2.014,2,-0.89,1.92,3.92,23.18,0.27,0.58,445.42,2026-01-08
510380,国寿300ETF,观察,1.399,2,-0.78,1.67,3.78,22.5,0.27,4.07,8036.46,2026-01-08
512370,A500增强ETF基金,观察,1.148,2,-0.95,2.14,4.74,,0.28,1.8,419.79,2026-01-08
510990,180ESGETF,观察,1.076,2,-1.2,2.57,4.16,18.24,0.28,0.42,149.76,2026-01-08
515130,沪深300ETF博时,观察,1.549,2,-0.97,2.04,3.75,23.43,0.28,1.27,1239.44,2026-01-08
512910,中证A100ETF,观察,1.316,2,-1.05,2.41,3.54,26.78,0.3,0.9,1727.46,2026-01-08
515720,金融科技ETF富国,观察,0.948,2,-2.27,3.04,7.24,,0.32,0.46,969.22,2026-01-08
510190,上证50ETF华安,观察,4.548,2,-1.05,2.87,4.6,18.65,0.34,2.19,701.73,2026-01-08
510050,上证50ETF,观察,3.198,2,-1.14,2.9,4.44,19.46,0.36,0.73,164228.46,2026-01-08
510100,上证50ETF易方达,观察,3.118,2,-1.08,2.94,4.67,19.83,0.38,1.15,63037.08,2026-01-08
510950,上证50ETF广发,观察,1.334,2,-1.04,2.77,4.71,19.43,0.38,0.75,377.66,2026-01-08
512090,MSCIA股ETF易方达,观察,1.978,2,-0.85,2.33,4.05,24.01,0.39,1.05,19996.54,2026-01-08
510320,沪深300ETF中金,观察,1.277,2,-0.7,2.08,3.57,,0.39,0.56,421.73,2026-01-08
510680,上证50ETF基金,观察,3.335,2,-1.07,2.74,4.74,18.98,0.4,0.96,654.74,2026-01-08
515760,浙江国资ETF,观察,1.429,2,-0.49,1.85,2.07,18.39,0.41,1.33,103.35,2026-01-08
510800,50ETF基金,观察,1.473,2,-1.15,2.94,4.47,18.41,0.41,0.66,438.69,2026-01-08
510710,上证50ETF博时,观察,4.452,2,-1.1,2.84,4.88,19.81,0.45,0.22,225.36,2026-01-08
510270,国企ETF,观察,1.554,2,-0.89,3.19,5.21,16.49,0.57,1.2,166.26,2026-01-08
510850,上证50ETF工银,观察,3.738,2,-0.77,3.12,5.18,20.43,0.61,0.85,3405.91,2026-01-08
512050,A500ETF基金,观察,1.225,2,-0.65,2.94,5.24,26.94,0.61,1.0,1478339.71,2026-01-08
510760,上证综指ETF,观察,1.324,2,-0.38,2.87,4.83,24.44,0.65,0.59,8971.79,2026-01-08
510980,上证综合ETF,观察,1.405,2,-0.28,2.55,3.69,21.75,0.66,0.99,3689.88,2026-01-08
515800,800ETF,观察,1.292,2,-0.62,2.95,5.13,25.44,0.67,0.85,10796.28,2026-01-08
512080,A500ETF中金,观察,1.317,2,-0.61,3.05,5.36,,0.67,1.25,4466.16,2026-01-08
515920,智能消费ETF,观察,1.191,2,-0.67,2.94,3.84,33.52,0.68,0.87,362.41,2026-01-08
510040,上证180ETF指数,观察,1.217,2,-0.49,3.22,4.73,,0.71,0.55,143.61,2026-01-08
512020,A500ETF指数,观察,1.299,2,-0.39,3.26,5.87,26.98,0.79,0.64,8437.19,2026-01-08
510670,上证180ETF华夏,观察,1.021,2,-0.4,3.34,4.5,,0.89,0.85,1272.78,2026-01-08
515250,智能汽车ETF,观察,1.218,2,-1.14,4.91,10.63,24.8,1.26,1.5,17408.84,2026-01-08
515880,通信ETF,观察,3.128,1,-0.95,0.42,3.17,114.84,-0.01,0.79,123362.71,2026-01-08
515050,5G通信ETF,观察,2.325,1,-1.11,0.78,3.43,91.99,0.13,0.58,21780.73,2026-01-08
512060,中证A100ETF天弘,观察,1.218,1,-1.38,2.44,3.31,,0.15,1.3,488.5,2026-01-08
515450,红利低波50ETF,观察,1.408,1,-0.28,0.93,0.21,3.45,0.19,0.58,9018.51,2026-01-08
512380,MSCI中国ETF,观察,1.637,1,-0.91,2.06,3.67,21.62,0.28,0.36,193.33,2026-01-08
515180,红利ETF易方达,观察,1.387,1,-0.29,1.31,1.76,6.2,0.29,1.37,46392.27,2026-01-08
510370,300指数ETF,观察,1.056,1,-0.75,1.73,3.63,20.41,0.3,0.93,410.83,2026-01-08
515770,摩根MSCIAETF,观察,1.432,1,-0.76,1.92,3.84,21.05,0.31,0.36,180.52,2026-01-08
512520,MSCIETF,观察,1.476,1,-0.94,2.29,3.8,22.29,0.31,3.93,175.16,2026-01-08
515080,中证红利ETF,观察,1.568,1,-0.32,1.36,1.82,5.66,0.36,1.05,28376.21,2026-01-08
515890,红利ETF博时,观察,1.416,1,-0.21,1.36,1.51,6.47,0.4,1.11,723.81,2026-01-08
510150,消费ETF,观察,0.57,1,-0.52,2.33,3.07,6.94,0.42,0.85,4918.55,2026-01-08
510880,红利ETF,观察,3.221,1,-0.34,1.04,1.16,1.48,0.44,0.72,35111.66,2026-01-08
510600,申万上证50ETF,观察,4.096,1,-0.73,2.45,4.73,17.97,0.49,0.79,149.69,2026-01-08
512160,MSCI中国A股ETF,观察,1.516,1,-0.59,2.29,4.34,24.16,0.54,0.47,215.47,2026-01-08
510130,上证中盘ETF易方达,观察,7.299,1,-0.56,2.66,4.27,19.79,0.55,1.78,320.56,2026-01-08
515860,科技ETF嘉实,观察,1.736,1,-0.69,2.66,3.89,44.07,0.58,1.1,570.65,2026-01-08
515810,中证800ETF,观察,1.682,1,-0.53,2.94,5.26,28.2,0.63,0.71,1183.06,2026-01-08
512770,战略新兴ETF,观察,2.172,1,-1.27,1.97,3.68,60.77,0.67,1.24,476.11,2026-01-08
510210,上证指数ETF,观察,1.018,1,-0.2,2.62,4.41,23.39,0.69,1.5,46443.87,2026-01-08
512650,长三角ETF,观察,1.323,1,-0.75,3.36,5.84,32.3,0.78,2.04,546.27,2026-01-08
510180,上证180ETF,观察,4.226,1,-0.45,3.25,4.6,21.72,0.78,0.5,5777.03,2026-01-08
510720,红利国企ETF,观察,0.977,1,-0.1,1.45,0.83,1.03,0.87,0.8,10004.26,2026-01-08
512400,有色金属ETF,观察,2.032,1,-1.74,6.44,16.38,106.71,0.91,1.21,205066.17,2026-01-08
515000,科技ETF,观察,1.041,1,-0.76,3.58,4.1,51.53,0.93,0.75,10609.43,2026-01-08
515320,电子50ETF,观察,1.264,1,-0.47,3.69,3.44,44.13,0.99,1.42,1356.35,2026-01-08
512260,中证500低波动ETF,观察,1.916,1,-0.21,3.57,6.56,18.56,1.12,0.82,115.35,2026-01-08
512220,TMTETF,观察,2.939,1,-0.84,3.63,5.61,65.76,1.18,0.72,1048.07,2026-01-08
510410,资源ETF,观察,1.897,1,-0.99,5.04,11.26,55.36,1.19,1.42,3659.12,2026-01-08
510660,医药卫生ETF,观察,2.525,1,-0.12,4.86,2.77,19.33,1.42,0.42,151.53,2026-01-08
510290,上证380ETF,观察,2.568,1,-0.27,4.77,9.28,28.02,1.58,0.55,116.53,2026-01-08
510170,大宗商品ETF,观察,1.311,1,-0.98,4.88,10.35,47.14,1.69,1.53,1842.39,2026-01-08
515580,科技100ETF,观察,1.315,1,-0.08,5.37,5.62,54.52,1.7,0.72,1176.15,2026-01-08
515220,煤炭ETF,观察,1.092,1,-0.09,5.51,3.31,0.55,3.02,1.74,103587.43,2026-01-08
512040,价值100ETF,观察,1.178,0,0.0,1.9,4.53,19.72,0.56,0.72,4303.38,2026-01-08
512580,环保ETF,观察,1.317,0,0.0,2.41,2.97,31.57,0.97,0.67,1227.23,2026-01-08
512930,AI人工智能ETF,观察,2.275,0,0.0,3.08,4.5,64.62,1.04,1.16,18651.06,2026-01-08
515210,钢铁ETF,观察,1.483,0,0.0,2.21,7.62,29.75,1.06,0.76,8923.68,2026-01-08
515070,人工智能AIETF,观察,2.027,0,0.0,3.31,4.7,64.4,1.19,1.33,32413.2,2026-01-08
515230,软件ETF,观察,0.939,0,0.0,6.22,8.06,13.96,1.25,0.85,19657.77,2026-01-08
512960,央企结构调整ETF,观察,1.469,0,0.0,4.11,6.76,9.71,1.35,2.91,887.99,2026-01-08
515980,人工智能ETF,观察,0.911,0,0.0,4.35,4.47,76.55,1.38,0.87,31419.64,2026-01-08
512120,医药50ETF,观察,0.476,0,0.0,4.39,1.93,14.98,1.45,1.23,1043.66,2026-01-08
515260,电子ETF,观察,0.694,0,0.0,3.89,4.52,47.35,1.46,1.14,2571.75,2026-01-08
512950,央企改革ETF,观察,1.522,0,0.0,4.03,6.96,10.05,1.49,1.71,1218.16,2026-01-08
515960,医药ETF嘉实,观察,0.868,0,0.0,4.7,3.09,17.77,1.5,0.5,232.78,2026-01-08
515750,科技50ETF,观察,1.911,0,0.0,5.58,5.93,38.58,1.51,1.44,3348.89,2026-01-08
512720,计算机ETF,观察,1.26,0,0.0,5.97,5.7,14.03,1.53,0.47,3564.14,2026-01-08
515680,央企创新ETF嘉实,观察,1.686,0,0.0,4.14,6.71,10.63,1.53,0.84,431.26,2026-01-08
515950,医药龙头ETF,观察,0.97,0,0.0,4.41,2.54,11.37,1.57,0.94,1338.68,2026-01-08
515900,央企创新驱动ETF,观察,1.675,0,0.0,4.17,6.89,10.49,1.59,0.37,972.96,2026-01-08
515110,一带一路ETF易方达,观察,1.649,0,0.0,4.83,8.7,20.54,1.6,1.16,616.0,2026-01-08
515150,一带一路ETF,观察,1.563,0,0.0,4.9,9.0,20.88,1.65,1.36,165.87,2026-01-08
515600,央企创新ETF,观察,1.68,0,0.0,4.28,6.94,10.89,1.67,0.52,647.18,2026-01-08
512010,医药ETF,观察,0.399,0,0.0,4.72,2.05,8.72,1.68,0.89,47917.58,2026-01-08
510810,上海国企ETF,观察,0.978,0,0.0,5.5,6.89,14.52,1.73,1.25,9593.9,2026-01-08
515120,创新药ETF,观察,0.661,0,0.0,5.25,1.54,24.72,1.75,1.49,52449.88,2026-01-08
515550,国联中证500ETF,观察,1.742,0,0.0,5.45,10.18,36.09,1.76,0.91,141.9,2026-01-08
512290,生物医药ETF,观察,1.063,0,0.0,5.56,3.0,15.04,1.78,0.77,8021.56,2026-01-08
510590,中证500ETF平安,观察,8.368,0,0.0,5.82,11.25,37.99,1.84,0.7,108.96,2026-01-08
515200,创新100ETF,观察,2.23,0,0.0,4.25,4.89,42.95,1.86,0.99,423.53,2026-01-08
512500,中证500ETF华夏,观察,4.405,0,0.0,5.81,11.24,36.63,1.87,0.71,14963.25,2026-01-08
512100,中证1000ETF,观察,3.231,0,0.0,4.9,8.17,31.02,1.87,0.78,109063.3,2026-01-08
510510,中证500ETF基金,观察,2.513,0,0.0,5.81,11.15,36.5,1.91,1.36,5328.43,2026-01-08
510500,中证500ETF,观察,8.024,0,0.0,5.84,11.07,36.32,1.92,1.09,306965.05,2026-01-08
510530,中证500ETF工银,观察,8.562,0,0.0,5.86,11.14,38.14,1.93,1.99,462.91,2026-01-08
510580,中证500ETF易方达,观察,4.069,0,0.0,5.85,11.51,37.98,1.95,0.93,8142.3,2026-01-08
515190,中银证券500ETF,观察,1.641,0,0.0,5.6,10.88,35.62,1.96,0.43,1257.69,2026-01-08
512510,中证500ETF华泰柏瑞,观察,2.303,0,0.0,6.03,11.53,38.9,1.97,0.97,1747.32,2026-01-08
515530,中证500ETF泰康,观察,4.287,0,0.0,5.93,10.86,36.1,2.09,0.97,138.17,2026-01-08
515060,房地产ETF基金,观察,0.744,0,0.0,5.53,4.64,5.38,2.09,1.11,3044.52,2026-01-08
510560,国寿500ETF,观察,1.919,0,0.0,6.08,11.63,39.26,2.1,1.77,105.53,2026-01-08
512200,房地产ETF,观察,1.562,0,0.0,5.61,4.97,4.34,2.12,1.2,19582.55,2026-01-08
515400,大数据ETF,观察,0.994,0,0.0,7.0,5.97,12.95,2.2,2.3,17370.14,2026-01-08
510550,方正中证500ETF,观察,2.0,0,0.0,5.71,11.54,35.5,2.21,1.32,158.31,2026-01-08
512170,医疗ETF,观察,0.366,0,0.0,7.02,6.71,9.58,2.35,1.15,87498.78,2026-01-08
515370,光伏ETF华夏,观察,0.967,0,0.0,4.43,4.88,,2.35,1.21,2598.5,2026-01-08
512330,信息科技ETF,观察,1.565,0,0.0,7.49,12.67,54.8,2.5,1.3,672.26,2026-01-08
515790,光伏ETF,观察,1.02,0,0.0,4.94,5.15,30.27,2.55,1.27,54649.78,2026-01-08
512760,芯片ETF,观察,1.77,0,0.0,7.99,11.32,49.87,3.3,1.01,42536.72,2026-01-08
512480,半导体ETF,观察,1.607,0,0.0,8.14,11.91,50.47,3.45,0.99,168412.37,2026-01-08
512980,传媒ETF,观察,1.093,0,0.0,12.45,13.85,36.28,3.68,1.13,25028.02,2026-01-08
512680,军工ETF龙头,观察,1.539,0,0.0,12.09,23.71,42.5,4.47,0.58,12070.35,2026-01-08
512810,军工ETF华宝,观察,0.87,0,0.0,12.11,23.93,43.33,4.62,1.12,8830.05,2026-01-08
