代码,名称,决策建议,现价,连跌天数,连跌%,周幅%,月幅%,年幅%,MA5偏离%,量比,成交额(万),日期
512730,银行ETF指数,观察,1.68,1,-0.59,-0.47,-0.77,10.24,-0.4,0.59,629.16,2026-01-07
512820,银行ETF龙头,观察,1.438,1,-0.62,-0.55,-0.83,10.19,-0.37,0.52,5536.52,2026-01-07
515020,银行ETF基金,观察,1.74,1,-0.51,-0.51,-0.74,10.9,-0.37,0.57,5050.47,2026-01-07
512700,银行ETF南方,观察,1.605,1,-0.56,-0.56,-0.93,10.92,-0.36,0.55,6973.13,2026-01-07
515290,银行ETF天弘,观察,1.471,1,-0.47,-0.54,-0.74,11.02,-0.35,0.43,5717.37,2026-01-07
512800,银行ETF,观察,0.82,1,-0.61,-0.49,-0.85,10.22,-0.29,0.59,43609.96,2026-01-07
512890,红利低波ETF,观察,1.171,1,-0.26,-0.43,-1.6,4.37,-0.24,0.41,31403.69,2026-01-07
515300,300红利低波ETF,观察,1.299,1,-0.38,0.0,-0.84,-2.4,0.0,0.5,7508.34,2026-01-07
515730,家居家电ETF,观察,1.034,1,-0.67,1.17,0.78,,0.12,0.46,392.34,2026-01-07
515100,红利低波100ETF,观察,1.436,1,-0.14,-0.14,-2.25,3.01,0.14,0.68,9354.92,2026-01-07
512530,沪深300红利ETF,观察,1.598,1,-0.13,0.76,0.44,5.9,0.28,0.56,196.17,2026-01-07
515650,消费50ETF,观察,1.197,1,-0.42,0.67,0.42,1.79,0.39,0.42,4019.48,2026-01-07
512600,消费ETF嘉实,观察,0.685,1,-0.29,0.74,0.15,-2.28,0.5,0.47,1454.77,2026-01-07
510900,恒生中国企业ETF,观察,1.169,1,-1.1,2.1,-0.76,21.77,0.53,0.61,12094.02,2026-01-07
512690,酒ETF,观察,0.547,1,-0.55,0.74,-1.8,-11.77,0.55,0.49,40871.25,2026-01-07
515170,食品饮料ETF,观察,0.558,1,-0.36,0.72,0.18,-7.31,0.61,0.82,9423.85,2026-01-07
515710,食品饮料ETF华宝,观察,0.595,1,-0.34,0.85,0.34,-6.59,0.68,0.57,1982.16,2026-01-07
512750,基本面50ETF,观察,1.522,1,-0.33,0.93,1.47,6.58,0.75,0.47,188.19,2026-01-07
515180,红利ETF易方达,观察,1.39,1,-0.07,1.61,1.16,5.95,0.78,0.37,12290.51,2026-01-07
510630,消费30ETF,观察,0.935,1,-0.11,1.52,1.74,-3.81,0.86,0.77,1795.34,2026-01-07
512550,富时A50ETF嘉实,观察,1.856,1,-0.05,2.15,2.77,20.21,0.94,0.29,328.86,2026-01-07
512130,全指现金流ETF鹏华,观察,1.252,1,-0.56,2.37,3.3,,0.95,1.83,145.2,2026-01-07
510030,价值ETF,观察,1.133,1,-0.26,1.89,2.91,11.63,1.09,0.23,125.17,2026-01-07
510230,金融ETF,观察,1.459,1,-0.34,2.46,4.14,16.35,1.32,0.47,2591.77,2026-01-07
512640,金融地产ETF嘉实,观察,2.616,1,-0.3,2.67,4.26,12.71,1.47,0.94,391.71,2026-01-07
510760,上证综指ETF,观察,1.328,1,-0.08,3.11,4.65,24.93,1.5,0.52,8141.37,2026-01-07
510330,沪深300ETF华夏,观察,4.985,1,-0.1,3.25,3.85,23.36,1.52,0.82,42609.44,2026-01-07
510360,沪深300ETF基金,观察,1.819,1,-0.05,3.23,4.0,22.82,1.54,0.54,4534.46,2026-01-07
510310,沪深300ETF易方达,观察,4.709,1,-0.11,3.27,3.86,23.79,1.54,0.28,35540.64,2026-01-07
